id,name,city,state,categories,mission_goals,description,registration_id,accepts_items,accepts_volunteer_skills,website
2130,Nirmaan Centre,Kochi,Kerala,"disaster relief, water & sanitation","Focused on inclusive disaster relief programs, especially targeting women, children and marginalized groups.",Nirmaan Centre runs multiple initiatives in Kochi related to disaster relief and works closely with local beneficiaries.,REG69133493,"hygiene kits, clothes, computers","marketing, counselling",
2131,Shram Foundation,Kochi,Kerala,disaster relief,"Working towards sustainable disaster relief solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to disaster relief with experience in project implementation and volunteer coordination.,REG41963794,"books, hygiene kits, food",,https://www.shramfoundation.org
2132,Nayi Disha Federation,Visakhapatnam,Andhra Pradesh,"agriculture, women empowerment",Committed to delivering scalable agriculture interventions through partnerships with local stakeholders.,A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG25765095,blankets,,
2133,Shram Centre,Hyderabad,Telangana,"animal welfare, research","Focused on inclusive animal welfare programs, especially targeting women, children and marginalized groups.","Shram Centre works across Hyderabad, offering programs in animal welfare. They focus on long-term impact and community engagement.",REG74263696,toys,counselling,
2134,Saathi Centre,Kochi,Kerala,education,"Working towards sustainable education solutions, focusing on community-driven projects and capacity building.","Saathi Centre works across Kochi, offering programs in education. They focus on long-term impact and community engagement.",REG9795740,"kitchenware, hygiene kits",,
2135,Nayi Disha Society,Bengaluru,Karnataka,human rights,"Focused on inclusive human rights programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to human rights with experience in project implementation and volunteer coordination.,REG9589061,"hygiene kits, medical supplies, food",project management,
2136,Sahyog Society,Nagpur,Maharashtra,"arts & culture, animal welfare","Working towards sustainable arts & culture solutions, focusing on community-driven projects and capacity building.",Sahyog Society runs multiple initiatives in Nagpur related to arts & culture and works closely with local beneficiaries.,REG7661102,computers,"medical, counselling",https://www.sahyogsociety.org
2137,Jeevan Initiative,Hyderabad,Telangana,rural development,"Working towards sustainable rural development solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to rural development with experience in project implementation and volunteer coordination.,REG4831343,"medical supplies, food","counselling, software development, fundraising",
2138,Samarpan Federation,Ahmedabad,Gujarat,arts & culture,"We provide support and resources for arts & culture, aiming to build local resilience and skills.","Samarpan Federation works across Ahmedabad, offering programs in arts & culture. They focus on long-term impact and community engagement.",REG1050524,"hygiene kits, kitchenware, clothes",medical,
2139,Sankalp Initiative,Hyderabad,Telangana,education,Committed to delivering scalable education interventions through partnerships with local stakeholders.,Sankalp Initiative runs multiple initiatives in Hyderabad related to education and works closely with local beneficiaries.,REG6699715,"toys, kitchenware",,https://www.sankalpinitiative.org
2140,Saathi Initiative,Jaipur,Rajasthan,child welfare,Committed to delivering scalable child welfare interventions through partnerships with local stakeholders.,Saathi Initiative runs multiple initiatives in Jaipur related to child welfare and works closely with local beneficiaries.,REG8679386,"kitchenware, toys","construction, teaching",
2141,Nirmaan Foundation,Bengaluru,Karnataka,"women empowerment, child welfare","Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.",Nirmaan Foundation runs multiple initiatives in Bengaluru related to women empowerment and works closely with local beneficiaries.,REG5530147,"books, hygiene kits, clothes",,
2142,Saathi Federation,Bengaluru,Karnataka,"arts & culture, housing","We provide support and resources for arts & culture, aiming to build local resilience and skills.","Saathi Federation works across Bengaluru, offering programs in arts & culture. They focus on long-term impact and community engagement.",REG3110478,,counselling,https://www.saathifederation.org
2143,Navjeevan Mission,Vadodara,Gujarat,elderly care,Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,Navjeevan Mission runs multiple initiatives in Vadodara related to elderly care and works closely with local beneficiaries.,REG5219089,,,
2144,Pragati Centre,Pune,Maharashtra,"mental health, disaster relief","We provide support and resources for mental health, aiming to build local resilience and skills.",A grassroots organization dedicated to mental health with experience in project implementation and volunteer coordination.,REG11455410,"clothes, hygiene kits",,https://www.pragaticentre.org
2145,Prerna Seva Kendra,Vadodara,Gujarat,"arts & culture, health","Focused on inclusive arts & culture programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to arts & culture with experience in project implementation and volunteer coordination.,REG40286111,"clothes, blankets","data analysis, logistics",
2146,Jagruti Centre,Chennai,Tamil Nadu,microfinance,Committed to delivering scalable microfinance interventions through partnerships with local stakeholders.,A grassroots organization dedicated to microfinance with experience in project implementation and volunteer coordination.,REG32644112,"blankets, hygiene kits, kitchenware","logistics, medical",
2147,Jagruti Initiative,Nagpur,Maharashtra,"elderly care, disaster relief","Working towards sustainable elderly care solutions, focusing on community-driven projects and capacity building.","Jagruti Initiative works across Nagpur, offering programs in elderly care. They focus on long-term impact and community engagement.",REG99218713,"computers, blankets","agriculture expertise, marketing",https://www.jagrutiinitiative.org
2148,Nirmaan Trust,Bhopal,Madhya Pradesh,"disability support, animal welfare","Focused on inclusive disability support programs, especially targeting women, children and marginalized groups.",Nirmaan Trust runs multiple initiatives in Bhopal related to disability support and works closely with local beneficiaries.,REG17133214,"books, blankets",software development,https://www.nirmaantrust.org
2149,Samanvay Seva Kendra,Lucknow,Uttar Pradesh,"livelihood, environment","Focused on inclusive livelihood programs, especially targeting women, children and marginalized groups.",Samanvay Seva Kendra runs multiple initiatives in Lucknow related to livelihood and works closely with local beneficiaries.,REG26126315,"computers, kitchenware, toys","data analysis, legal aid",
2150,Sahyog Seva Kendra,Bengaluru,Karnataka,"disability support, water & sanitation",To improve access to disability support services for underserved communities in Bengaluru and surrounding areas.,"Sahyog Seva Kendra works across Bengaluru, offering programs in disability support. They focus on long-term impact and community engagement.",REG44725016,"medical supplies, clothes","fundraising, medical, construction",
2151,Dhanak Association,Chennai,Tamil Nadu,livelihood,To improve access to livelihood services for underserved communities in Chennai and surrounding areas.,Dhanak Association runs multiple initiatives in Chennai related to livelihood and works closely with local beneficiaries.,REG37035917,toys,"logistics, mentoring, project management",
2152,Pragati Initiative,Patna,Bihar,"education, agriculture","Focused on inclusive education programs, especially targeting women, children and marginalized groups.","Pragati Initiative works across Patna, offering programs in education. They focus on long-term impact and community engagement.",REG92429218,"food, toys, books","medical, construction",
2153,Saathi Initiative,Kolkata,West Bengal,"elderly care, women empowerment",Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,Saathi Initiative runs multiple initiatives in Kolkata related to elderly care and works closely with local beneficiaries.,REG13041519,"toys, blankets, clothes",counselling,
2154,Nayi Soch Society,Surat,Gujarat,"environment, animal welfare",Committed to delivering scalable environment interventions through partnerships with local stakeholders.,"Nayi Soch Society works across Surat, offering programs in environment. They focus on long-term impact and community engagement.",REG76475620,food,,https://www.nayisochsociety.org
2155,Asha Seva Kendra,Delhi,Delhi,agriculture,"Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG74062621,"stationery, medical supplies, kitchenware","logistics, construction, agriculture expertise",
2156,Shram Association,Delhi,Delhi,livelihood,Committed to delivering scalable livelihood interventions through partnerships with local stakeholders.,Shram Association runs multiple initiatives in Delhi related to livelihood and works closely with local beneficiaries.,REG96711222,,"medical, logistics, agriculture expertise",https://www.shramassociation.org
2157,Sahyog Trust,Patna,Bihar,animal welfare,"Focused on inclusive animal welfare programs, especially targeting women, children and marginalized groups.",Sahyog Trust runs multiple initiatives in Patna related to animal welfare and works closely with local beneficiaries.,REG74261723,"clothes, food, hygiene kits",counselling,
2158,Sankriti Centre,Ahmedabad,Gujarat,"research, mental health","We provide support and resources for research, aiming to build local resilience and skills.","Sankriti Centre works across Ahmedabad, offering programs in research. They focus on long-term impact and community engagement.",REG49000824,,"fundraising, construction, event management",
2159,Jagruti Society,Hyderabad,Telangana,health,"Working towards sustainable health solutions, focusing on community-driven projects and capacity building.","Jagruti Society works across Hyderabad, offering programs in health. They focus on long-term impact and community engagement.",REG18788225,"computers, food","medical, marketing",
2160,Seva Mission,Kochi,Kerala,"education, environment",Committed to delivering scalable education interventions through partnerships with local stakeholders.,"Seva Mission works across Kochi, offering programs in education. They focus on long-term impact and community engagement.",REG76502326,,,
2161,Navjeevan Charitable Trust,Delhi,Delhi,"research, housing","Focused on inclusive research programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG64994527,"stationery, toys",,
2162,Sankalp Society,Nagpur,Maharashtra,water & sanitation,"We provide support and resources for water & sanitation, aiming to build local resilience and skills.","Sankalp Society works across Nagpur, offering programs in water & sanitation. They focus on long-term impact and community engagement.",REG53133428,"medical supplies, toys",,
2163,Nayi Soch Initiative,Kolkata,West Bengal,"rural development, skill development",To improve access to rural development services for underserved communities in Kolkata and surrounding areas.,Nayi Soch Initiative runs multiple initiatives in Kolkata related to rural development and works closely with local beneficiaries.,REG24256029,toys,"event management, project management, legal aid",
2164,Navjeevan Mission,Nagpur,Maharashtra,elderly care,Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG71241930,"medical supplies, hygiene kits","construction, project management",https://www.navjeevanmission.org
2165,Samarpan Charitable Trust,Thiruvananthapuram,Kerala,arts & culture,Committed to delivering scalable arts & culture interventions through partnerships with local stakeholders.,"Samarpan Charitable Trust works across Thiruvananthapuram, offering programs in arts & culture. They focus on long-term impact and community engagement.",REG99528431,kitchenware,marketing,https://www.samarpancharitabletrust.org
2166,Navjeevan Mission,Chennai,Tamil Nadu,water & sanitation,Committed to delivering scalable water & sanitation interventions through partnerships with local stakeholders.,A grassroots organization dedicated to water & sanitation with experience in project implementation and volunteer coordination.,REG23130932,,"event management, agriculture expertise",
2167,Nirmaan Association,Guwahati,Assam,disaster relief,To improve access to disaster relief services for underserved communities in Guwahati and surrounding areas.,A grassroots organization dedicated to disaster relief with experience in project implementation and volunteer coordination.,REG19800633,clothes,,
2168,Samanvay Initiative,Indore,Madhya Pradesh,agriculture,Committed to delivering scalable agriculture interventions through partnerships with local stakeholders.,Samanvay Initiative runs multiple initiatives in Indore related to agriculture and works closely with local beneficiaries.,REG53413834,,,https://www.samanvayinitiative.org
2169,Samanvay Initiative,Patna,Bihar,microfinance,Committed to delivering scalable microfinance interventions through partnerships with local stakeholders.,Samanvay Initiative runs multiple initiatives in Patna related to microfinance and works closely with local beneficiaries.,REG51181135,"books, stationery","marketing, agriculture expertise",
2170,Jagruti Initiative,Hyderabad,Telangana,animal welfare,Committed to delivering scalable animal welfare interventions through partnerships with local stakeholders.,"Jagruti Initiative works across Hyderabad, offering programs in animal welfare. They focus on long-term impact and community engagement.",REG53754036,"books, blankets","construction, logistics",https://www.jagrutiinitiative.org
2171,Pragati Centre,Chennai,Tamil Nadu,education,"Focused on inclusive education programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG52671437,,"data analysis, mentoring, project management",https://www.pragaticentre.org
2172,Seva Society,Bengaluru,Karnataka,"agriculture, skill development","Working towards sustainable agriculture solutions, focusing on community-driven projects and capacity building.",Seva Society runs multiple initiatives in Bengaluru related to agriculture and works closely with local beneficiaries.,REG70109338,blankets,"construction, mentoring",
2173,Navjeevan Foundation,Bhopal,Madhya Pradesh,human rights,"Working towards sustainable human rights solutions, focusing on community-driven projects and capacity building.","Navjeevan Foundation works across Bhopal, offering programs in human rights. They focus on long-term impact and community engagement.",REG84554139,"clothes, food, books","mentoring, marketing, data analysis",
2174,Dhanak Foundation,Delhi,Delhi,disaster relief,Committed to delivering scalable disaster relief interventions through partnerships with local stakeholders.,A grassroots organization dedicated to disaster relief with experience in project implementation and volunteer coordination.,REG40113740,"toys, computers","agriculture expertise, legal aid",
2175,Nayi Soch Seva Kendra,Guwahati,Assam,"disaster relief, arts & culture","Working towards sustainable disaster relief solutions, focusing on community-driven projects and capacity building.","Nayi Soch Seva Kendra works across Guwahati, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG57082641,"stationery, blankets, hygiene kits","logistics, teaching, event management",
2176,Asha Foundation,Kolkata,West Bengal,rural development,"We provide support and resources for rural development, aiming to build local resilience and skills.",Asha Foundation runs multiple initiatives in Kolkata related to rural development and works closely with local beneficiaries.,REG65360642,medical supplies,"project management, mentoring, event management",
2177,Nirmaan Mission,Lucknow,Uttar Pradesh,rural development,Committed to delivering scalable rural development interventions through partnerships with local stakeholders.,"Nirmaan Mission works across Lucknow, offering programs in rural development. They focus on long-term impact and community engagement.",REG32821243,,,
2178,Jagruti Mission,Jaipur,Rajasthan,livelihood,"Working towards sustainable livelihood solutions, focusing on community-driven projects and capacity building.",Jagruti Mission runs multiple initiatives in Jaipur related to livelihood and works closely with local beneficiaries.,REG74354644,"stationery, blankets","agriculture expertise, legal aid, marketing",
2179,Dhanak Centre,Ahmedabad,Gujarat,"animal welfare, microfinance",To improve access to animal welfare services for underserved communities in Ahmedabad and surrounding areas.,A grassroots organization dedicated to animal welfare with experience in project implementation and volunteer coordination.,REG47682145,kitchenware,"marketing, fundraising, legal aid",https://www.dhanakcentre.org
2180,Pragati Charitable Trust,Indore,Madhya Pradesh,"environment, research","We provide support and resources for environment, aiming to build local resilience and skills.",Pragati Charitable Trust runs multiple initiatives in Indore related to environment and works closely with local beneficiaries.,REG40136146,food,"medical, counselling",
2181,Asha Federation,Kolkata,West Bengal,women empowerment,"Focused on inclusive women empowerment programs, especially targeting women, children and marginalized groups.","Asha Federation works across Kolkata, offering programs in women empowerment. They focus on long-term impact and community engagement.",REG55574347,"blankets, medical supplies","logistics, software development",
2182,Samarpan Centre,Guwahati,Assam,human rights,Committed to delivering scalable human rights interventions through partnerships with local stakeholders.,"Samarpan Centre works across Guwahati, offering programs in human rights. They focus on long-term impact and community engagement.",REG16614148,"medical supplies, books",,
2183,Seva Mission,Patna,Bihar,"environment, housing",To improve access to environment services for underserved communities in Patna and surrounding areas.,"Seva Mission works across Patna, offering programs in environment. They focus on long-term impact and community engagement.",REG76338049,"medical supplies, computers","logistics, medical",https://www.sevamission.org
2184,Udaan Charitable Trust,Pune,Maharashtra,disaster relief,"Working towards sustainable disaster relief solutions, focusing on community-driven projects and capacity building.","Udaan Charitable Trust works across Pune, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG83047750,"medical supplies, hygiene kits","data analysis, marketing",
2185,Asha Trust,Thiruvananthapuram,Kerala,housing,To improve access to housing services for underserved communities in Thiruvananthapuram and surrounding areas.,Asha Trust runs multiple initiatives in Thiruvananthapuram related to housing and works closely with local beneficiaries.,REG64286651,hygiene kits,,
2186,Udaan Trust,Guwahati,Assam,skill development,"Focused on inclusive skill development programs, especially targeting women, children and marginalized groups.","Udaan Trust works across Guwahati, offering programs in skill development. They focus on long-term impact and community engagement.",REG12958652,"computers, kitchenware, stationery","data analysis, event management",
2187,Pragati Association,Mumbai,Maharashtra,"environment, health",To improve access to environment services for underserved communities in Mumbai and surrounding areas.,"Pragati Association works across Mumbai, offering programs in environment. They focus on long-term impact and community engagement.",REG86986753,"toys, computers, blankets","agriculture expertise, event management",
2188,Prerna Federation,Guwahati,Assam,agriculture,"Working towards sustainable agriculture solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG61911954,"clothes, toys","software development, teaching, fundraising",
2189,Seva Trust,Delhi,Delhi,skill development,"We provide support and resources for skill development, aiming to build local resilience and skills.","Seva Trust works across Delhi, offering programs in skill development. They focus on long-term impact and community engagement.",REG19086255,"hygiene kits, computers, clothes","logistics, construction",https://www.sevatrust.org
2190,Shram Society,Pune,Maharashtra,disability support,To improve access to disability support services for underserved communities in Pune and surrounding areas.,Shram Society runs multiple initiatives in Pune related to disability support and works closely with local beneficiaries.,REG51890756,stationery,teaching,
2191,Udaan Centre,Bengaluru,Karnataka,education,"We provide support and resources for education, aiming to build local resilience and skills.",Udaan Centre runs multiple initiatives in Bengaluru related to education and works closely with local beneficiaries.,REG22281157,,,
2192,Samarpan Seva Kendra,Visakhapatnam,Andhra Pradesh,agriculture,Committed to delivering scalable agriculture interventions through partnerships with local stakeholders.,A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG85115358,,,
2193,Jagruti Mission,Kochi,Kerala,"disaster relief, human rights","Focused on inclusive disaster relief programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to disaster relief with experience in project implementation and volunteer coordination.,REG79620159,kitchenware,"medical, event management, marketing",
2194,Nirmaan Seva Kendra,Kolkata,West Bengal,rural development,"Working towards sustainable rural development solutions, focusing on community-driven projects and capacity building.","Nirmaan Seva Kendra works across Kolkata, offering programs in rural development. They focus on long-term impact and community engagement.",REG28450460,,,
2195,Jagruti Centre,Visakhapatnam,Andhra Pradesh,housing,"Focused on inclusive housing programs, especially targeting women, children and marginalized groups.",Jagruti Centre runs multiple initiatives in Visakhapatnam related to housing and works closely with local beneficiaries.,REG67440361,"food, hygiene kits","software development, marketing, event management",
2196,Nirmaan Foundation,Surat,Gujarat,arts & culture,"Working towards sustainable arts & culture solutions, focusing on community-driven projects and capacity building.","Nirmaan Foundation works across Surat, offering programs in arts & culture. They focus on long-term impact and community engagement.",REG79451162,clothes,,https://www.nirmaanfoundation.org
2197,Prerna Seva Kendra,Kolkata,West Bengal,agriculture,"Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.",Prerna Seva Kendra runs multiple initiatives in Kolkata related to agriculture and works closely with local beneficiaries.,REG27710663,"food, toys","counselling, teaching, event management",https://www.prernasevakendra.org
2198,Jeevan Society,Bhopal,Madhya Pradesh,"environment, education","Working towards sustainable environment solutions, focusing on community-driven projects and capacity building.",Jeevan Society runs multiple initiatives in Bhopal related to environment and works closely with local beneficiaries.,REG14194264,"food, hygiene kits, computers","mentoring, marketing",https://www.jeevansociety.org
2199,Samanvay Foundation,Thiruvananthapuram,Kerala,"child welfare, research","Focused on inclusive child welfare programs, especially targeting women, children and marginalized groups.",Samanvay Foundation runs multiple initiatives in Thiruvananthapuram related to child welfare and works closely with local beneficiaries.,REG16872965,blankets,"construction, teaching",
2200,Prerna Society,Indore,Madhya Pradesh,rural development,"Working towards sustainable rural development solutions, focusing on community-driven projects and capacity building.",Prerna Society runs multiple initiatives in Indore related to rural development and works closely with local beneficiaries.,REG44513566,"blankets, medical supplies, food","construction, mentoring, marketing",
2201,Saathi Society,Delhi,Delhi,women empowerment,"Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to women empowerment with experience in project implementation and volunteer coordination.,REG49282167,,marketing,https://www.saathisociety.org
2202,Pragati Federation,Guwahati,Assam,research,"We provide support and resources for research, aiming to build local resilience and skills.","Pragati Federation works across Guwahati, offering programs in research. They focus on long-term impact and community engagement.",REG36919368,,"marketing, mentoring",
2203,Shram Charitable Trust,Ahmedabad,Gujarat,child welfare,To improve access to child welfare services for underserved communities in Ahmedabad and surrounding areas.,A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG51790869,"food, books, computers","marketing, teaching",
2204,Udaan Seva Kendra,Visakhapatnam,Andhra Pradesh,"health, livelihood","Focused on inclusive health programs, especially targeting women, children and marginalized groups.",Udaan Seva Kendra runs multiple initiatives in Visakhapatnam related to health and works closely with local beneficiaries.,REG70600070,"kitchenware, clothes, stationery","data analysis, teaching",
2205,Samarpan Seva Kendra,Indore,Madhya Pradesh,"research, arts & culture","Focused on inclusive research programs, especially targeting women, children and marginalized groups.","Samarpan Seva Kendra works across Indore, offering programs in research. They focus on long-term impact and community engagement.",REG34838371,"toys, kitchenware, food","counselling, data analysis, fundraising",
2206,Samarpan Foundation,Guwahati,Assam,"health, education","Focused on inclusive health programs, especially targeting women, children and marginalized groups.",Samarpan Foundation runs multiple initiatives in Guwahati related to health and works closely with local beneficiaries.,REG45851972,stationery,"event management, logistics",https://www.samarpanfoundation.org
2207,Jeevan Society,Guwahati,Assam,mental health,Committed to delivering scalable mental health interventions through partnerships with local stakeholders.,"Jeevan Society works across Guwahati, offering programs in mental health. They focus on long-term impact and community engagement.",REG18250573,"hygiene kits, kitchenware",,https://www.jeevansociety.org
2208,Shram Society,Kolkata,West Bengal,"water & sanitation, rural development","Focused on inclusive water & sanitation programs, especially targeting women, children and marginalized groups.","Shram Society works across Kolkata, offering programs in water & sanitation. They focus on long-term impact and community engagement.",REG86871974,clothes,agriculture expertise,
2209,Pragati Federation,Thiruvananthapuram,Kerala,"rural development, elderly care",Committed to delivering scalable rural development interventions through partnerships with local stakeholders.,"Pragati Federation works across Thiruvananthapuram, offering programs in rural development. They focus on long-term impact and community engagement.",REG41311675,,"teaching, construction, mentoring",
2210,Nirmaan Association,Kochi,Kerala,rural development,Committed to delivering scalable rural development interventions through partnerships with local stakeholders.,Nirmaan Association runs multiple initiatives in Kochi related to rural development and works closely with local beneficiaries.,REG12017676,kitchenware,"marketing, counselling, fundraising",
2211,Prerna Trust,Jaipur,Rajasthan,"education, livelihood",Committed to delivering scalable education interventions through partnerships with local stakeholders.,A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG98345377,"books, medical supplies","agriculture expertise, medical",https://www.prernatrust.org
2212,Jeevan Federation,Vadodara,Gujarat,"agriculture, research",Committed to delivering scalable agriculture interventions through partnerships with local stakeholders.,A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG70708578,,,
2213,Sahyog Mission,Visakhapatnam,Andhra Pradesh,"water & sanitation, human rights",Committed to delivering scalable water & sanitation interventions through partnerships with local stakeholders.,Sahyog Mission runs multiple initiatives in Visakhapatnam related to water & sanitation and works closely with local beneficiaries.,REG82240879,"clothes, medical supplies","software development, mentoring",https://www.sahyogmission.org
2214,Prerna Federation,Thiruvananthapuram,Kerala,education,Committed to delivering scalable education interventions through partnerships with local stakeholders.,Prerna Federation runs multiple initiatives in Thiruvananthapuram related to education and works closely with local beneficiaries.,REG38830380,,,
2215,Samanvay Society,Hyderabad,Telangana,"environment, human rights","Working towards sustainable environment solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to environment with experience in project implementation and volunteer coordination.,REG32191681,"blankets, medical supplies, clothes","project management, event management",https://www.samanvaysociety.org
2216,Nayi Soch Trust,Mumbai,Maharashtra,education,"Working towards sustainable education solutions, focusing on community-driven projects and capacity building.","Nayi Soch Trust works across Mumbai, offering programs in education. They focus on long-term impact and community engagement.",REG86622682,"computers, clothes","medical, logistics, event management",https://www.nayisochtrust.org
2217,Sankriti Federation,Lucknow,Uttar Pradesh,rural development,"Focused on inclusive rural development programs, especially targeting women, children and marginalized groups.",Sankriti Federation runs multiple initiatives in Lucknow related to rural development and works closely with local beneficiaries.,REG54249883,stationery,"data analysis, fundraising, teaching",
2218,Shram Association,Vadodara,Gujarat,"agriculture, rural development","Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG78645184,"blankets, food","event management, software development, data analysis",https://www.shramassociation.org
2219,Sankriti Seva Kendra,Guwahati,Assam,microfinance,"We provide support and resources for microfinance, aiming to build local resilience and skills.",A grassroots organization dedicated to microfinance with experience in project implementation and volunteer coordination.,REG67697285,,,
2220,Udaan Association,Ahmedabad,Gujarat,arts & culture,"Focused on inclusive arts & culture programs, especially targeting women, children and marginalized groups.",Udaan Association runs multiple initiatives in Ahmedabad related to arts & culture and works closely with local beneficiaries.,REG15301086,medical supplies,event management,
2221,Asha Charitable Trust,Pune,Maharashtra,housing,Committed to delivering scalable housing interventions through partnerships with local stakeholders.,A grassroots organization dedicated to housing with experience in project implementation and volunteer coordination.,REG97648387,"stationery, blankets",medical,
2222,Saathi Centre,Vadodara,Gujarat,agriculture,"We provide support and resources for agriculture, aiming to build local resilience and skills.",Saathi Centre runs multiple initiatives in Vadodara related to agriculture and works closely with local beneficiaries.,REG16789688,"food, books, medical supplies",project management,
2223,Seva Trust,Delhi,Delhi,"animal welfare, arts & culture","We provide support and resources for animal welfare, aiming to build local resilience and skills.",A grassroots organization dedicated to animal welfare with experience in project implementation and volunteer coordination.,REG59912289,"clothes, hygiene kits, toys","legal aid, data analysis, logistics",
2224,Nayi Soch Initiative,Nagpur,Maharashtra,water & sanitation,"Working towards sustainable water & sanitation solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to water & sanitation with experience in project implementation and volunteer coordination.,REG74236790,food,"teaching, legal aid",
2225,Sankriti Initiative,Nagpur,Maharashtra,"child welfare, human rights",Committed to delivering scalable child welfare interventions through partnerships with local stakeholders.,A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG40113191,"clothes, books",,
2226,Dhanak Association,Lucknow,Uttar Pradesh,skill development,Committed to delivering scalable skill development interventions through partnerships with local stakeholders.,A grassroots organization dedicated to skill development with experience in project implementation and volunteer coordination.,REG95086392,"kitchenware, stationery",,
2227,Pragati Society,Thiruvananthapuram,Kerala,"human rights, agriculture","We provide support and resources for human rights, aiming to build local resilience and skills.","Pragati Society works across Thiruvananthapuram, offering programs in human rights. They focus on long-term impact and community engagement.",REG66990393,"hygiene kits, toys, stationery",marketing,
2228,Nirmaan Initiative,Thiruvananthapuram,Kerala,health,To improve access to health services for underserved communities in Thiruvananthapuram and surrounding areas.,"Nirmaan Initiative works across Thiruvananthapuram, offering programs in health. They focus on long-term impact and community engagement.",REG43145394,"hygiene kits, clothes",,
2229,Shram Charitable Trust,Lucknow,Uttar Pradesh,housing,"We provide support and resources for housing, aiming to build local resilience and skills.",Shram Charitable Trust runs multiple initiatives in Lucknow related to housing and works closely with local beneficiaries.,REG80588295,kitchenware,"mentoring, data analysis",
2230,Navjeevan Association,Thiruvananthapuram,Kerala,"elderly care, animal welfare",To improve access to elderly care services for underserved communities in Thiruvananthapuram and surrounding areas.,Navjeevan Association runs multiple initiatives in Thiruvananthapuram related to elderly care and works closely with local beneficiaries.,REG69737896,"toys, stationery","construction, fundraising",
2231,Jeevan Federation,Kolkata,West Bengal,disability support,Committed to delivering scalable disability support interventions through partnerships with local stakeholders.,A grassroots organization dedicated to disability support with experience in project implementation and volunteer coordination.,REG2930590,kitchenware,"teaching, medical, fundraising",
2232,Nayi Disha Centre,Pune,Maharashtra,arts & culture,"Focused on inclusive arts & culture programs, especially targeting women, children and marginalized groups.","Nayi Disha Centre works across Pune, offering programs in arts & culture. They focus on long-term impact and community engagement.",REG8605491,"kitchenware, medical supplies",counselling,https://www.nayidishacentre.org
2233,Shram Federation,Patna,Bihar,arts & culture,"We provide support and resources for arts & culture, aiming to build local resilience and skills.","Shram Federation works across Patna, offering programs in arts & culture. They focus on long-term impact and community engagement.",REG4325962,"toys, medical supplies, stationery","construction, software development, counselling",
2234,Saathi Federation,Jaipur,Rajasthan,women empowerment,"Focused on inclusive women empowerment programs, especially targeting women, children and marginalized groups.","Saathi Federation works across Jaipur, offering programs in women empowerment. They focus on long-term impact and community engagement.",REG7795803,"hygiene kits, toys","legal aid, logistics, data analysis",
2235,Samanvay Society,Kochi,Kerala,"research, animal welfare","Focused on inclusive research programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG2948534,,legal aid,
2236,Navjeevan Charitable Trust,Thiruvananthapuram,Kerala,education,Committed to delivering scalable education interventions through partnerships with local stakeholders.,Navjeevan Charitable Trust runs multiple initiatives in Thiruvananthapuram related to education and works closely with local beneficiaries.,REG9010235,"clothes, hygiene kits, kitchenware","data analysis, counselling",
2237,Seva Seva Kendra,Nagpur,Maharashtra,"housing, livelihood",To improve access to housing services for underserved communities in Nagpur and surrounding areas.,A grassroots organization dedicated to housing with experience in project implementation and volunteer coordination.,REG4173176,"computers, hygiene kits","fundraising, mentoring",
